index,AGEB,P_TOTAL,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT,P_0A5
442,0435,3798.0,457.0,10.768983050847458,1.9822033898305085,1382.0,0.7766101694915254,3.137627118644068,782.0,1273.0,259.0
502,044A,1429.0,257.0,10.522962962962962,2.0748148148148147,573.0,0.6259259259259259,2.6466666666666665,330.0,471.0,83.0
530,0454,2339.0,296.0,12.051698113207546,1.611509433962264,883.0,0.6083018867924529,2.8441509433962264,531.0,718.0,118.0
584,0488,2214.0,251.0,9.373571428571427,2.255714285714286,750.0,0.8932142857142857,3.3117857142857146,309.0,728.0,233.0
613,0492,956.0,131.0,12.295,1.2647222222222223,454.0,0.5847222222222223,2.3869444444444445,360.0,368.0,33.0
650,0505,784.0,164.0,14.70923076923077,1.886923076923077,353.0,0.49923076923076926,2.664615384615385,250.0,279.0,23.0
664,0524,2567.0,319.0,9.64758064516129,1.7867741935483872,1083.0,0.7006451612903225,2.510967741935484,493.0,830.0,157.0
727,0543,1827.0,281.0,9.376785714285715,2.2451785714285717,701.0,0.8016071428571429,2.9326785714285712,324.0,547.0,58.0
784,0558,2399.0,279.0,13.09421052631579,1.7710526315789472,952.0,0.5889473684210526,2.7931578947368423,663.0,745.0,140.0
804,0562,1280.0,246.0,12.926923076923078,1.8469230769230771,566.0,0.5861538461538461,2.644615384615385,360.0,379.0,190.0
831,0577,1170.0,284.0,13.831428571428573,1.3714285714285714,610.0,0.5177142857142858,2.287142857142857,421.0,415.0,44.0
867,0581,1043.0,215.0,11.648333333333333,1.7166666666666668,474.0,0.5275,2.2416666666666667,312.0,349.0,24.0
892,0613,2069.0,198.0,9.199545454545456,2.184090909090909,681.0,0.9172727272727272,3.2386363636363638,286.0,845.0,290.0
915,0628,1762.0,288.0,9.679622641509434,1.3569811320754717,783.0,0.5084905660377358,2.1816981132075473,488.0,522.0,112.0
969,0632,124.0,22.0,1.9544444444444444,0.30166666666666664,12.0,0.10888888888888888,0.4305555555555556,20.0,18.0,12.0
988,0647,2797.0,551.0,13.68794871794872,1.651025641025641,1197.0,0.47871794871794876,2.6302564102564103,875.0,941.0,179.0
1028,0651,346.0,87.0,10.958333333333334,1.3355555555555556,176.0,0.4816666666666667,1.9255555555555557,119.0,114.0,4.0
1047,0666,1444.0,239.0,9.91,1.5796153846153846,600.0,0.643076923076923,2.3807692307692307,348.0,588.0,118.0
1074,0670,1814.0,309.0,10.586,2.21,668.0,0.7799999999999999,2.9579999999999997,367.0,579.0,134.0
1090,0685,3249.0,375.0,9.715,2.1676470588235297,1169.0,0.89,3.1220588235294118,586.0,1106.0,345.0
1125,069A,2777.0,419.0,10.139259259259259,2.0859259259259257,982.0,0.7501851851851852,3.0964814814814816,502.0,857.0,284.0
1180,0717,275.0,39.0,5.431481481481482,0.9037037037037037,143.0,0.3737037037037037,1.1303703703703702,71.0,156.0,17.0
1208,0721,1015.0,135.0,7.43625,1.195,612.0,0.6075,1.474375,218.0,440.0,48.0
1241,0736,1847.0,341.0,11.147884615384616,1.6307692307692307,870.0,0.6688461538461539,2.3346153846153848,482.0,741.0,54.0
1294,0740,2522.0,429.0,11.490588235294117,1.8733333333333335,1046.0,0.67,2.708823529411765,600.0,823.0,208.0
1346,0755,2115.0,295.0,10.135405405405406,2.025675675675676,741.0,0.8251351351351351,3.062972972972973,379.0,741.0,221.0
1384,076A,1112.0,205.0,9.993235294117646,1.3538235294117646,538.0,0.4808823529411764,1.993823529411765,324.0,345.0,37.0
