index,AGEB,MZA,P_TOTAL,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT,P_0A5
355,0543,98,27.0,3.0,9.63,2.2,10.0,0.71,3.38,3.0,3.0,4.0
356,0543,99,23.0,4.0,8.36,3.0,6.0,0.92,3.83,3.0,8.0,4.0
357,0543,100,222.0,22.0,11.33,2.47,79.0,0.65,3.31,37.0,72.0,13.0
359,0558,6,55.0,7.0,12.18,2.05,20.0,0.77,3.06,12.0,26.0,4.0
360,0558,7,44.0,7.0,13.33,2.12,13.0,0.67,3.38,10.0,8.0,7.0
361,0558,8,52.0,10.0,12.34,2.04,21.0,0.58,2.89,12.0,16.0,7.0
362,0558,9,79.0,16.0,11.82,1.91,32.0,0.54,2.63,16.0,32.0,10.0
363,0558,10,80.0,11.0,12.8,1.57,35.0,0.5,2.58,22.0,24.0,3.0
364,0558,11,81.0,14.0,12.0,1.97,30.0,0.56,3.12,20.0,33.0,0.0
365,0558,12,76.0,7.0,11.95,1.66,30.0,0.57,2.92,19.0,21.0,0.0
366,0558,15,38.0,4.0,11.76,1.94,14.0,0.54,2.71,9.0,12.0,0.0
367,0558,16,52.0,7.0,12.66,1.65,18.0,0.55,2.89,12.0,10.0,0.0
368,0558,17,40.0,8.0,12.06,1.83,16.0,0.56,2.67,9.0,7.0,0.0
369,0558,18,270.0,10.0,13.41,1.83,101.0,0.65,3.1,73.0,122.0,18.0
370,0558,19,130.0,9.0,12.72,1.6,48.0,0.63,2.83,37.0,43.0,16.0
371,0558,20,169.0,10.0,11.85,1.95,59.0,0.73,3.38,35.0,53.0,23.0
372,0558,21,76.0,5.0,12.3,1.5,31.0,0.7,2.92,19.0,21.0,16.0
373,0558,22,64.0,5.0,13.13,1.85,20.0,0.68,3.56,11.0,17.0,16.0
374,0558,23,99.0,7.0,11.6,1.66,36.0,0.66,3.19,28.0,27.0,7.0
375,0558,24,61.0,7.0,11.43,1.64,17.0,0.78,3.81,13.0,23.0,9.0
376,0558,25,45.0,7.0,12.03,1.84,17.0,0.63,3.0,10.0,20.0,7.0
377,0558,26,915.0,43.0,13.11,1.51,345.0,0.78,3.11,245.0,358.0,53.0
379,0562,1,49.0,9.0,11.05,1.77,17.0,0.69,3.06,7.0,16.0,29.0
380,0562,2,90.0,4.0,13.17,1.66,39.0,0.8,3.0,22.0,19.0,9.0
381,0562,3,55.0,7.0,12.86,1.58,24.0,0.6,2.39,16.0,13.0,5.0
382,0562,4,67.0,4.0,9.9,2.0,29.0,0.71,2.91,11.0,31.0,5.0
383,0562,5,75.0,6.0,10.73,2.0,28.0,0.65,3.13,14.0,16.0,3.0
384,0562,6,43.0,5.0,11.87,1.89,19.0,0.61,2.53,11.0,13.0,3.0
385,0562,7,70.0,6.0,11.62,2.07,34.0,0.56,2.59,20.0,16.0,7.0
386,0562,8,54.0,7.0,11.93,1.64,15.0,0.59,3.6,12.0,18.0,7.0
387,0562,9,79.0,8.0,11.38,2.06,34.0,0.66,3.16,13.0,29.0,7.0
388,0562,12,44.0,5.0,12.27,2.59,16.0,0.55,3.14,8.0,12.0,4.0
